,social_isolation_score,face_to_face_social_hours_weekly,sleep_hours,exercise_hours_weekly,daily_gaming_hours,academic_work_performance,gaming_addiction_risk_level
social_isolation_score,1.000,-0.776,-0.682,-0.643,0.866,-0.492,0.757
face_to_face_social_hours_weekly,-0.776,1.000,0.693,0.642,-0.872,0.488,-0.746
sleep_hours,-0.682,0.693,1.000,0.550,-0.778,0.487,-0.667
exercise_hours_weekly,-0.643,0.642,0.550,1.000,-0.734,0.403,-0.645
daily_gaming_hours,0.866,-0.872,-0.778,-0.734,1.000,-0.551,0.857
academic_work_performance,-0.492,0.488,0.487,0.403,-0.551,1.000,-0.483
gaming_addiction_risk_level,0.757,-0.746,-0.667,-0.645,0.857,-0.483,1.000
